YYYYMMDD,Sample,Year,Month,Day,Bakun_Index_ 51N_131W,Bakun_Index_ 48N_125W
19680115,380,1968,01,15,-116,-300
19680116,381,1968,01,16,-10,-140
19680117,382,1968,01,17,-143,-451
19680118,383,1968,01,18,-10,-469
19680119,384,1968,01,19,2,-197
19680120,385,1968,01,20,2,-264
19680121,386,1968,01,21,-168,-25
19680122,387,1968,01,22,-244,-110
19680123,388,1968,01,23,22,-48
19680124,389,1968,01,24,242,209
19680125,390,1968,01,25,336,57
19680126,391,1968,01,26,55,51
19680127,392,1968,01,27,-6,-75
19680128,393,1968,01,28,-73,-210
19680129,394,1968,01,29,27,-67
19680130,395,1968,01,30,5,-122
19680131,396,1968,01,31,21,-124
19680201,397,1968,02,01,-38,-168
19680202,398,1968,02,02,35,-186
19680203,399,1968,02,03,-261,-284
19680204,400,1968,02,04,3,-9
19680205,401,1968,02,05,-111,-45
19680206,402,1968,02,06,-123,-170
19680207,403,1968,02,07,-102,-159
19680208,404,1968,02,08,-125,-118
19680209,405,1968,02,09,-53,-145
19680210,406,1968,02,10,-76,-110
19680211,407,1968,02,11,-22,-21
19680212,408,1968,02,12,-14,-57
19680213,409,1968,02,13,-1,-36
19680214,410,1968,02,14,-48,-102
19680215,411,1968,02,15,-85,-147
19680216,412,1968,02,16,-182,-191
19680217,413,1968,02,17,-144,-356
19680218,414,1968,02,18,-183,-229
19680219,415,1968,02,19,-150,-30
19680220,416,1968,02,20,-249,-183
19680221,417,1968,02,21,-61,-43
19680222,418,1968,02,22,-56,-220
19680223,419,1968,02,23,-15,-161
19680224,420,1968,02,24,-245,-82
19680225,421,1968,02,25,-250,-161
19680226,422,1968,02,26,-219,-131
19680227,423,1968,02,27,-164,-158
19680228,424,1968,02,28,-46,-85
19680229,425,1968,02,29,-193,-92
19680301,426,1968,03,01,-44,-14
19680302,427,1968,03,02,-216,-5
19680303,428,1968,03,03,-166,-72
19680304,429,1968,03,04,-165,-173
19680305,430,1968,03,05,9,-110
19680306,431,1968,03,06,-187,-52
19680307,432,1968,03,07,-75,1
19680308,433,1968,03,08,-98,3
19680309,434,1968,03,09,-100,-10
19680310,435,1968,03,10,-246,-65
19680311,436,1968,03,11,-212,-306
19680312,437,1968,03,12,-48,-36
19680313,438,1968,03,13,-19,-83
19680314,439,1968,03,14,-7,-108
19680315,440,1968,03,15,6,-133
19680316,441,1968,03,16,53,30
19680317,442,1968,03,17,40,55
19680318,443,1968,03,18,-22,-13
19680319,444,1968,03,19,-204,-52
19680320,445,1968,03,20,-459,-210
19680321,446,1968,03,21,-158,-233
19680322,447,1968,03,22,-31,-71
19680323,448,1968,03,23,-43,-128
19680324,449,1968,03,24,-7,-61
19680325,450,1968,03,25,-21,45
19680326,451,1968,03,26,1,-115
19680327,452,1968,03,27,10,9
